TYPE,CRIT_AIR,NOMBRE
VP,EL,31391
PL,EL,32
VUL,EL,9490
TOTAL,EL,40913
VP,Crit'air1,1417739
PL,Crit'air1,1745
VUL,Crit'air1,21237
TOTAL,Crit'air1,1440721
VP,Crit'air2,1855570
PL,Crit'air2,32200
VUL,Crit'air2,419434
TOTAL,Crit'air2,2307204
VP,Crit'air3,1281772
PL,Crit'air3,15340
VUL,Crit'air3,128566
TOTAL,Crit'air3,1425677
VP,Crit'air4,402083
PL,Crit'air4,7705
VUL,Crit'air4,58308
TOTAL,Crit'air4,468096
VP,Crit'air5,88368
PL,Crit'air5,7458
VUL,Crit'air5,18421
TOTAL,Crit'air5,114246
VP,Non classé,186879
PL,Non classé,4431
VUL,Non classé,22581
TOTAL,Non classé,213890