Zone,A,B,C,D,E,F,G,,,,,,,,
75,0.31 %,1.64 %,11.69 %,32.77 %,22.73 %,18.72 %,12.14 %,,,,,,,,
77,1.13 %,4.34 %,12.00 %,34.83 %,29.80 %,11.93 %,5.96 %,,,,,,,,
78,1.09 %,4.04 %,11.04 %,37.82 %,31.30 %,9.86 %,4.85 %,,,,,,,,
91,0.89 %,3.86 %,11.73 %,40.31 %,28.59 %,10.11 %,4.51 %,,,,,,,,
92,0.55 %,3.36 %,15.03 %,40.28 %,26.41 %,9.38 %,5.00 %,,,,,,,,
93,1.27 %,4.70 %,14.47 %,36.35 %,27.28 %,10.38 %,5.56 %,,,,,,,,
94,0.69 %,3.67 %,14.66 %,42.55 %,24.74 %,8.94 %,4.76 %,,,,,,,,
95,0.92 %,4.39 %,13.27 %,36.92 %,29.31 %,10.09 %,5.10 %,,,,,,,,
R̩gion,0.80 %,3.54 %,12.92 %,37.34 %,27.03 %,11.83 %,6.54 %,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Lettre,x,y
,,,,,,,,,,,,,,0.00 %,0
,,,,,,,,,,,,,A,0.80 %,50
,,,,,,,,,,,,,B,4.34 %,90
,,,,,,,,,,,,,C,17.26 %,150
,,,,,,,,,,,,,D,54.60 %,230
,,,,,,,,,,,,,E,81.63 %,330
,,,,,,,,,,,,,F,93.46 %,450
,,,,,,,,,,,,,G,100.00 %,550